id,tipo_placa,placa,tipo_contrato,carroceria_id,autobusero_id,activo,observaciones
854,SJB,15308,2,1,643,0,
855,SJB,15311,2,1,643,0,
856,CB,2138,2,1,642,1,
857,CB,2139,2,1,642,1,
858,CB,2278,2,1,642,1,
859,AB,6511,2,1,651,1,
860,AB,6509,2,1,651,1,
861,AB,6510,2,1,651,1,
862,AB,6512,2,1,651,1,
863,AB,6513,2,1,651,1,
864,LB,1278,2,1,651,1,
865,LB,1331,2,1,651,1,
866,LB,1386,2,1,651,1,
867,LB,1653,2,1,651,1,
868,LB,1838,2,1,651,1,
869,LB,1839,2,1,651,1,
870,LB,1841,2,1,651,1,
871,LB,1842,2,1,651,1,
872,LB,1843,2,1,651,1,
873,LB,1962,2,1,651,1,
874,CB,2113,2,1,631,1,
875,CB,2710,2,1,631,1,
876,SJB,10639,2,1,637,1,
877,SJB,10640,2,1,637,1,
878,SJB,10641,2,1,637,1,
879,SJB,10647,2,1,637,1,
880,SJB,10756,2,1,652,0,
881,HB,3531,2,1,652,0,
882,AB,5391,2,1,652,0,
883,AB,5392,2,1,652,0,
884,AB,5763,2,1,652,0,
885,AB,5764,2,1,652,0,
886,AB,5958,2,1,652,0,
887,AB,6157,2,1,652,0,
888,AB,6505,2,1,652,0,
889,AB,6537,2,1,652,0,
890,AB,6590,2,1,652,0,
891,AB,6652,2,1,652,0,
892,AB,7112,2,1,652,0,
893,AB,7479,2,1,652,0,
894,AB,7484,2,1,652,0,
895,HB,2502,2,1,652,0,
896,LB,1640,2,1,652,0,
897,LB,1672,2,1,652,0,
898,PB,1365,2,1,652,0,
899,SJB,12768,2,1,652,0,
900,SJB,11470,2,1,654,1,
901,AB,6486,2,1,654,1,
902,HB,2037,2,1,663,1,
903,HB,2039,2,1,663,1,
904,HB,2282,2,1,663,1,
905,HB,3075,2,1,663,1,
906,HB,3389,2,1,663,1,
907,HB,3390,2,1,663,1,
908,HB,3491,2,1,663,1,
909,HB,3521,2,1,663,1,
910,HB,3522,2,1,663,1,
911,HB,3582,2,1,663,1,
912,HB,4041,2,1,663,1,
913,HB,4042,2,1,663,1,
914,HB,4108,2,1,663,1,
915,CB,2242,2,1,646,1,
916,CB,2239,2,1,646,1,
917,CB,1883,2,1,655,1,
918,AB,4308,2,1,655,1,
919,CB,2375,2,1,655,1,
920,CB,2634,2,1,655,1,
